#Name	Accession	Description	Length	Related
NqrM	PF04400.16	(Na+)-NQR maturation NqrM	43	No
120_Rick_ant	PF12574.11	120 KDa Rickettsia surface antigen	238	No
12TM_1	PF09847.12	Membrane protein of 12 TMs	449	No
14-3-3	PF00244.23	14-3-3 protein	222	No
FKS1_dom1	PF14288.9	"1,3-beta-glucan synthase subunit FKS1, domain-1"	119	No
BE_C	PF09210.14	"1,4-alpha-glucan branching enzyme, C-terminal"	101	No
2-Hacid_dh_C	PF02826.22	"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"	178	No
2-oxoacid_dh	PF00198.26	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	233	No
Fer2_2	PF01799.23	[2Fe-2S] binding domain	75	No
2-ph_phosp	PF04029.17	2-phosphosulpholactate phosphatase	226	No
EFTUD2	PF16004.8	116 kDa U5 small nuclear ribonucleoprotein component N-terminus	121	No
23ISL	PF16620.8	Unstructured linker between I-set domains 2 and 3 on MYLCK	162	No
17kDa_Anti_2	PF16998.8	17 kDa outer membrane surface antigen	116	No
DXP_reductoisom	PF02670.19	1-deoxy-D-xylulose 5-phosphate reductoisomerase	129	No
DUF5061	PF16587.8	17 kDa common-antigen outer membrane protein	82	No
AtzG-like	PF13318.9	1-carboxybiuret hydrolase subunit AtzG-like	50	No
DXP_redisom_C	PF08436.15	1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain	84	No
POC3_POC4	PF10448.12	20S proteasome chaperone assembly proteins 3 and 4	144	No
23S_rRNA_IVP	PF05635.14	23S rRNA-intervening sequence protein	106	No
2HCT	PF03390.18	2-hydroxycarboxylate transporter family	416	No
RPN6_N	PF18055.4	26S proteasome regulatory subunit RPN6 N-terminal domain	117	No
2OG-FeII_Oxy_2	PF13532.9	2OG-Fe(II) oxygenase superfamily	194	No
ErmC	PF06308.14	23S rRNA methylastransferase leader peptide (ErmCL)	31	No
RPN1_C	PF18051.4	26S proteasome non-ATPase regulatory subunit RPN1 C-terminal	54	No
AKAP28	PF14469.9	28 kDa A-kinase anchor	121	No
2OG-FeII_Oxy_6	PF20515.1	Tet-like 2OG-Fe(II) oxygenase superfamily	212	No
2OG-Fe_Oxy_2	PF10014.12	2OG-Fe dioxygenase	191	No
RPN5_C	PF18098.4	26S proteasome regulatory subunit RPN5 C-terminal domain	33	No
2_5_RNA_ligase2	PF13563.9	2'-5' RNA ligase superfamily	153	No
RPN6_C_helix	PF18503.4	26S proteasome subunit RPN6 C-terminal helix domain	27	No
Peptidase_C24	PF03510.17	2C endopeptidase (C24) cysteine protease family	105	No
3-HAO	PF06052.15	3-hydroxyanthranilic acid dioxygenase	151	No
Fer2_3	PF13085.9	2Fe-2S iron-sulfur cluster binding domain	109	No
2OG-FeII_Oxy	PF03171.23	2OG-Fe(II) oxygenase superfamily	101	No
30K_MP_C_Ter	PF11330.11	C-Terminal of 30K viral movement proteins	242	No
3A	PF00803.21	3A/RNA2 movement protein family	236	No
3Beta_HSD	PF01073.22	3-beta hydroxysteroid dehydrogenase/isomerase family	280	No
2C_adapt	PF08793.13	2-cysteine adaptor domain	35	No
2EXR	PF20150.2	2EXR family	99	No
3HBOH	PF10605.12	3HB-oligomer hydrolase (3HBOH)	689	No
Fer2	PF00111.30	2Fe-2S iron-sulfur cluster binding domain	78	No
3HCDH_N	PF02737.21	"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain"	180	No
Fer2_4	PF13510.9	2Fe-2S iron-sulfur cluster binding domain	82	No
3keto-disac_hyd	PF06439.14	3-keto-disaccharide hydrolase	185	No
Mpo1-like	PF06127.14	2-hydroxy-palmitic acid dioxygenase Mpo1-like	95	No
2OG-FeII_Oxy_3	PF13640.9	2OG-Fe(II) oxygenase superfamily	96	No
2OG-FeII_Oxy_4	PF13661.9	2OG-Fe(II) oxygenase superfamily	98	No
2-oxogl_dehyd_N	PF16078.8	2-oxoglutarate dehydrogenase N-terminus	41	No
OxoDH_E1alpha_N	PF12573.11	2-oxoisovalerate dehydrogenase E1 alpha subunit N terminal	41	No
2-thiour_desulf	PF04463.15	2-thiouracil desulfurase	137	No
4HBT_3	PF13622.9	Thioesterase-like superfamily	250	No
4HB_MCP_1	PF12729.10	Four helix bundle sensory module for signal transduction	181	No
4HFCP_synth	PF04476.16	4-HFC-P synthase	228	No
2TM	PF13239.9	2TM domain	78	No
DUF5676	PF18926.3	2TM family of unknown function (DUF5676)	82	No
BCHF	PF07284.14	2-vinyl bacteriochlorophyllide hydratase (BCHF)	139	No
5-FTHF_cyc-lig	PF01812.23	5-formyltetrahydrofolate cyclo-ligase family	187	No
5-nucleotidase	PF06189.15	5'-nucleotidase	266	No
RNase_PH	PF01138.24	"3' exoribonuclease family, domain 1"	132	No
RNase_PH_C	PF03725.18	"3' exoribonuclease family, domain 2"	67	No
5TM-5TMR_LYT	PF07694.15	5TMR of 5TMR-LYT	168	No
DNA_pol_A_exoN	PF18305.4	3' to 5' exonuclease C-terminal domain	87	No
5_3_exonuc_N	PF02739.19	"5'-3' exonuclease, N-terminal resolvase-like domain"	159	No
5_nucleotid	PF05761.17	5' nucleotidase family	461	No
5_nucleotid_C	PF02872.21	"5'-nucleotidase, C-terminal domain"	158	No
60KD_IMP	PF02096.23	60Kd inner membrane protein	166	No
6PF2K	PF01591.21	6-phosphofructo-2-kinase	223	No
6PGD	PF00393.22	"6-phosphogluconate dehydrogenase, C-terminal domain"	291	No
Ribosomal_S22	PF08136.14	30S ribosomal protein subunit S22 family	46	No
7TM-7TMR_HD	PF07698.14	7TM receptor with intracellular HD hydrolase	193	No
MRP-L46	PF11788.11	39S mitochondrial ribosomal protein L46	119	No
7TMR-DISM_7TM	PF07695.14	7TM diverse intracellular signalling	205	No
7TMR-HDED	PF07697.14	7TM-HD extracellular	220	No
7tm_1	PF00001.24	7 transmembrane receptor (rhodopsin family)	264	No
7tm_2	PF00002.27	7 transmembrane receptor (Secretin family)	246	No
7tm_3	PF00003.25	7 transmembrane sweet-taste receptor of 3 GCPR	243	No
7tm_4	PF13853.9	Olfactory receptor	280	No
7tm_6	PF02949.23	7tm Odorant receptor	313	No
7tm_7	PF08395.15	7tm Chemosensory receptor	370	No
7TM_GPCR_Sra	PF02117.19	Serpentine type 7TM GPCR chemoreceptor Sra	328	No
7TM_GPCR_Srab	PF10292.12	Serpentine type 7TM GPCR receptor class ab chemoreceptor	324	No
7TM_GPCR_Srb	PF02175.19	Serpentine type 7TM GPCR chemoreceptor Srb	236	No
7TM_GPCR_Srbc	PF10316.12	Serpentine type 7TM GPCR chemoreceptor Srbc	275	No
7TM_GPCR_Srd	PF10317.12	Serpentine type 7TM GPCR chemoreceptor Srd	292	No
7TM_GPCR_Srh	PF10318.12	Serpentine type 7TM GPCR chemoreceptor Srh	302	No
7TM_GPCR_Sri	PF10327.12	Serpentine type 7TM GPCR chemoreceptor Sri	303	No
7TM_GPCR_Srj	PF10319.12	Serpentine type 7TM GPCR chemoreceptor Srj	310	No
7TM_GPCR_Srsx	PF10320.12	Serpentine type 7TM GPCR chemoreceptor Srsx	257	No
7TM_GPCR_Srt	PF10321.12	Serpentine type 7TM GPCR chemoreceptor Srt	313	No
7TM_GPCR_Sru	PF10322.12	Serpentine type 7TM GPCR chemoreceptor Sru	304	No
7TM_GPCR_Srv	PF10323.12	Serpentine type 7TM GPCR chemoreceptor Srv	283	No
7TM_GPCR_Srw	PF10324.12	Serpentine type 7TM GPCR chemoreceptor Srw	319	No
7TM_GPCR_Srx	PF10328.12	Serpentine type 7TM GPCR chemoreceptor Srx	263	No
7TM_GPCR_Srz	PF10325.12	Serpentine type 7TM GPCR chemoreceptor Srz	266	No
7TM_GPCR_Str	PF10326.12	Serpentine type 7TM GPCR chemoreceptor Str	307	No
7TM_transglut	PF14402.9	7 transmembrane helices usually fused to an inactive transglutaminase	248	No
8TM_micro	PF17028.8	8TM Microsporidial transmembrane domain	255	No
A-2_8-polyST	PF07388.14	"Alpha-2,8-polysialyltransferase (POLYST)"	310	No
Thx	PF17070.8	30S ribosomal protein Thx	27	No
PDEase_I_N	PF08499.15	3'5'-cyclic nucleotide phosphodiesterase N-terminal	61	No
N36	PF11438.11	36-mer N-terminal peptide of the N protein (N36)	35	No
3-dmu-9_3-mt	PF06983.16	3-demethylubiquinone-9 3-methyltransferase	116	No
MRP_L53	PF10780.12	39S ribosomal protein L53/MRP-L53	53	No
AA9	PF03443.17	Auxiliary Activity family 9 (formerly GH61)	205	No
Steroid_dh	PF02544.19	3-oxo-5-alpha-steroid 4-dehydrogenase	150	No
AAA-ATPase_like	PF09820.12	Predicted AAA-ATPase	280	No
AAA_10	PF12846.10	AAA-like domain	362	No
AAA_11	PF13086.9	AAA domain	261	No
AAA_12	PF13087.9	AAA domain	199	No
