#Name	Accession	Description	Length	Related
trim_DfrA1_rpt	NF000008.1	trimethoprim-resistant repeat-containing dihydrofolate reductase DfrA1	187	No
trim_DfrA3	NF000019.2	trimethoprim-resistant dihydrofolate reductase DfrA3	162	No
1567214_ble	NF000028.1	BLMA family bleomycin binding protein	122	No
APH_9_Ib	NF000029.2	aminoglycoside O-phosphotransferase APH(9)-Ib	330	No
D_ala_D_ser_VanL	NF000032.1	D-alanine--D-serine ligase VanL	349	No
vanT-L-mem	NF000033.1	serine racemase VanT-L membrane subunit	329	No
AAC_6p_A40	NF000048.1	aminoglycoside 6'-N-acetyltransferase AacA40	184	No
tet_redox_37	NF000059.1	tetracycline resistance NADPH-dependent oxidoreductase Tet(37)	108	No
MFS_efflux_PexA	NF000072.1	phenicol efflux MFS transporter PexA	415	No
stregram_VatA	NF000101.1	streptogramin A O-acetyltransferase Vat(A)	219	No
40850658_otr	NF000106.1	oxytetracycline efflux ABC transporter Otr(C) ATP-binding subunit	351	No
AAC_6p_Iad	NF000115.2	aminoglycoside N-acetyltransferase AAC(6')-Iad	144	No
485965_fosC	NF000122.1	fosfomycin resistance kinase FosC	182	No
MupB	NF000258.1	mupirocin-resistant isoleucine--tRNA ligase MupB	1033	No
glpA_Cterm	NF000342.3	aminoglycoside O-phosphotransferase APH(4)-Ib	228	No
sat3	NF000359.1	streptothricin N-acetyltransferase Sat3	180	No
blaOXA-372_like	NF000415.3	OXA-372 family carbapenem-hydrolyzing class D beta-lactamase	257	No
blaBIC	NF000449.2	BIC family carbapenem-hydrolyzing class A beta-lactamase	294	No
blaMSI-1_fam	NF000456.2	MSI-1 family subclass B3 metallo-beta-lactamase	289	No
blaSPG-1_fam	NF000459.2	SPG-1 family subclass B3 metallo-beta-lactamase	285	No
AAC_6p_Ip	NF000486.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ip	173	No
chrB	NF000488.1	23S rRNA (guanine(748)-N(1))-methyltransferase ChrB	280	No
PRK00790.1-1	NF001990.1	flagellar hook-basal body complex protein FliE	111	No
PRK01903.2-4	NF002513.0	ribonuclease P (Provisional)	118	No
PRK01903.3-2	NF002515.0	ribonuclease P (Provisional)	85	No
PRK05682.2-2	NF004243.1	flagellar hook protein FlgE	420	No
PRK06762.3-1	NF005256.0	hypothetical protein (Provisional)	67	Yes
tet_MFS_43	NF012180.1	tetracycline efflux MFS transporter Tet(43)	484	No
tet_MFS_45	NF012184.0	tetracycline efflux MFS transporter Tet(45)	458	No
ANT_3pp_AadA3	NF033127.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3	258	No
vanT-L-cat	NF033133.1	serine racemase VanT-L catalytic subunit	366	No
AAC_6p_A49	NF033150.1	aminoglycoside 6'-N-acetyltransferase AacA49	184	No
AAC_6p_A10	NF033151.0	AAC(6')-I family aminoglycoside 6'-N-acetyltransferase	178	No
AAC_6p_Id	NF033374.6	aminoglycoside N-acetyltransferase AAC(6')-Id	149	No
toxin_EAST1	NF033646.1	heat-stable enterotoxin EAST1	38	No
polymyxin_MCR6	NF033670.1	MCR-6 family phosphoethanolamine--lipid A transferase	538	No
pheromone_ipd	NF033893.1	peptide pheromone inhibitor Ipd	21	No
blaCAM	NF033895.1	CAM family subclass B1 metallo-beta-lactamase	241	No
Cas12d	NF033951.1	type V CRISPR-associated protein Cas12d	1138	No
TatB_1	NF038009.1	twin-arginine translocation system-associated protein	70	No
LaoB_over_CadC	NF038068.1	L-arginine responsive protein LaoB	41	No
blaGMB	NF038103.1	GMB family subclass B1 metallo-beta-lactamase	270	No
blaAAK	NF038195.1	AAK family class A beta-lactamase	286	No
Myrrnad	NF038275.1	MyrrNad domain-containing protein	81	No
FosU	NF038311.1	FosU family fosfomycin resistance glutathione transferase	137	No
omphalotin_tail	NF038374.1	omphalotin biosynthesis suicide methyltransferase/RiPP precursor	40	No
crocagin_RiPP	NF038375.1	crocagin A family RiPP precursor	21	No
microvionin	NF038376.1	microvionin family RiPP	27	No
amino_Aden_PurZ	NF038379.2	succino-amino-deoxyadenylate synthase PurZ	293	No
phage_DpoZ_1	NF038380.1	aminoadenine-incorporating DNA polymerase DpoZ	607	No
phage_DpoZ_2	NF038381.1	aminoadenine-incorporating DNA polymerase DpoZ	754	No
16S_A1408_NpmB	NF040634.1	16S rRNA (adenine(1408)-N(1))-methyltransferase NpmB	217	No
glucon_galact_dh	NF040790.2	bifunctional D-gluconate/D-galactonate dehydratase	390	No
leader_RepB_LM	NF040975.1	IncL/M-type plasmid replication leader peptide RepB	16	No
CobW_rel_Se	NF041053.1	CobW-related selenoprotein	195	No
FtrB_double_U	NF041072.1	FtrB family double-selenoprotein	121	No
CheX_Thtogales	NF041094.1	CheY-P phosphatase CheX	152	No
CxxS_UxF_star	NF041211.1	UXX-star (seleno)protein family 2	71	No
Trx_VPGUxxT_one	NF041382.1	VPGUxxT family thioredoxin-like (seleno)protein, type 1	349	No
dihyfolred_HdrA_Halo	NF041386.1	dihydrofolate reductase HdrA	158	No
hydrolase_YghX	NF041440.1	YghX family hydrolase	292	No
Hemerythrin	TIGR00058.1	hemerythrin family non-heme iron protein	115	No
DPH2	TIGR00272.1	diphthamide biosynthesis protein 2	497	No
APS_reduc	TIGR00424.1	5'-adenylylsulfate reductase, thioredoxin-independent	464	No
pheS_mito	TIGR00469.1	phenylalanine--tRNA ligase	451	No
crvDNA_42K	TIGR00495.1	DNA-binding protein, 42 kDa (Provisional)	383	No
ccl1	TIGR00569.1	cyclin ccl1 (Provisional)	305	No
cdk7	TIGR00570.1	CDK-activating kinase assembly factor MAT1	309	No
ku70	TIGR00578.1	ATP-dependent DNA helicase II, 70 kDa subunit (ku70) (Provisional)	586	No
mre11	TIGR00583.1	DNA repair protein (mre11)	405	No
mug	TIGR00584.1	mismatch-specific thymine-DNA glycosylate (mug) (Provisional)	328	No
rad1	TIGR00596.1	DNA repair protein (rad1) (Provisional)	813	No
rad18	TIGR00599.1	DNA repair protein rad18	397	No
rad2	TIGR00600.1	DNA excision repair protein (rad2) (Provisional)	1039	No
rad23	TIGR00601.1	UV excision repair protein Rad23	381	No
rad24	TIGR00602.1	checkpoint protein rad24 (Provisional)	640	No
rad4	TIGR00605.2	XPC/Rad4 family nucleotide excision DNA repair protein	683	No
rad50	TIGR00606.1	rad50 (Provisional)	1311	No
rad52	TIGR00607.1	recombination protein rad52 (Provisional)	161	No
rpa1	TIGR00617.1	replication factor-a protein 1 (rpa1) (Provisional)	608	No
ssl1	TIGR00622.1	transcription factor ssl1 (Provisional)	112	No
tfb2	TIGR00625.1	transcription factor Tfb2 (Provisional)	448	No
tfb4	TIGR00627.1	transcription factor tfb4 (Provisional)	284	No
GABAtrns_euk	TIGR00699.1	4-aminobutyrate--2-oxoglutarate transaminase	464	No
ISP4_OPT	TIGR00727.1	small oligopeptide transporter, OPT family	681	No
mtc	TIGR00798.1	tricarboxylate carrier (Provisional)	317	No
mtp	TIGR00799.1	Golgi 4-transmembrane spanning transporter (Provisional)	258	No
nst	TIGR00803.1	UDP-galactose transporter (Provisional)	222	No
oat	TIGR00805.1	OAT family organic anion transporter	639	No
rfc	TIGR00806.1	reduced folate carrier	511	No
sit	TIGR00811.1	silicon transporter (Provisional)	548	No
zip	TIGR00820.1	ZIP zinc/iron transport family (Provisional)	324	No
ae	TIGR00834.1	anion exchange protein (Provisional)	900	No
b_cpa1	TIGR00840.1	sodium/hydrogen exchanger 3	559	No
c_cpa1	TIGR00844.1	sodium/hydrogen antiporter	810	No
